#r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz 0 0 0 1
-0.411393 0.699826 0.583952 0.023283 0.761779 0.615772 -0.201288 -0.045521 -0.500448 0.362034 -0.786437 0.229751 0 0 0 1
-0.411393 0.699826 0.583952 0.029123 0.761779 0.615772 -0.201288 -0.047534 -0.500448 0.362034 -0.786437 0.221886 0 0 0 1
-0.411122 0.699985 0.583952 0.028880 0.762018 0.615477 -0.201288 -0.047168 -0.500308 0.362228 -0.786437 0.221628 0 0 0 1
-0.408722 0.698924 0.586900 0.028661 0.762612 0.614811 -0.201073 -0.046808 -0.501367 0.365394 -0.784295 0.221391 0 0 0 1
-0.408003 0.701224 0.584653 0.028384 0.761203 0.614849 -0.206231 -0.046508 -0.504087 0.360897 -0.784634 0.221127 0 0 0 1
-0.408857 0.702390 0.582653 0.028103 0.761352 0.614546 -0.206585 -0.046167 -0.503170 0.359140 -0.786027 0.220853 0 0 0 1
-0.409682 0.700919 0.583843 0.027848 0.763754 0.613534 -0.200638 -0.045769 -0.498839 0.363715 -0.786684 0.220585 0 0 0 1
-0.412504 0.703841 0.578315 0.027522 0.763368 0.613510 -0.202175 -0.045452 -0.497101 0.358069 -0.790365 0.220286 0 0 0 1
-0.419681 0.706320 0.570070 0.027162 0.764946 0.613310 -0.196746 -0.045071 -0.488595 0.353502 -0.797691 0.219951 0 0 0 1
-0.419092 0.705991 0.570910 0.026889 0.766200 0.612364 -0.194803 -0.044731 -0.487134 0.355791 -0.797567 0.219689 0 0 0 1
-0.423483 0.707408 0.565894 0.026553 0.767830 0.611779 -0.190168 -0.044368 -0.480728 0.353977 -0.802247 0.219380 0 0 0 1
-0.427265 0.705664 0.565228 0.026255 0.771750 0.610332 -0.178597 -0.043940 -0.471006 0.359907 -0.805370 0.219085 0 0 0 1
-0.428385 0.706503 0.563329 0.025942 0.772878 0.609474 -0.176638 -0.043613 -0.468130 0.359716 -0.807130 0.218805 0 0 0 1
-0.430506 0.708351 0.559378 0.025604 0.773635 0.608824 -0.175564 -0.043299 -0.464923 0.357173 -0.810107 0.218512 0 0 0 1
-0.433530 0.710923 0.553751 0.025245 0.774196 0.608314 -0.174855 -0.042992 -0.461163 0.352907 -0.814116 0.218209 0 0 0 1
-0.439682 0.710481 0.549450 0.024896 0.777987 0.606960 -0.162283 -0.042570 -0.448793 0.356113 -0.819615 0.217892 0 0 0 1
-0.441590 0.710873 0.547410 0.024567 0.779888 0.605771 -0.157533 -0.042228 -0.443591 0.357353 -0.821904 0.217607 0 0 0 1
-0.440529 0.711532 0.547410 0.024255 0.780791 0.604606 -0.157533 -0.041937 -0.443057 0.358015 -0.821904 0.217345 0 0 0 1
