# Index r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz 0 0 0 1
0 -0.359174 0.615186 0.701811 0.027928 0.920679 0.356670 0.158540 -0.005619 -0.152784 0.703086 -0.694496 0.235053 0 0 0 1
1 -0.359174 0.615186 0.701811 0.034946 0.920679 0.356670 0.158540 -0.004034 -0.152784 0.703086 -0.694496 0.228108 0 0 0 1
2 -0.366497 0.612995 0.699939 0.034821 0.916791 0.366206 0.159326 -0.003607 -0.158656 0.700091 -0.696203 0.228002 0 0 0 1
3 -0.407838 0.587505 0.698931 0.034695 0.889419 0.428670 0.158662 -0.003201 -0.206396 0.686351 -0.697367 0.227899 0 0 0 1
4 -0.397784 0.597411 0.696324 0.034545 0.896831 0.413290 0.157745 -0.002803 -0.193545 0.687234 -0.700177 0.227779 0 0 0 1
5 -0.451929 0.560664 0.693840 0.034386 0.855587 0.492543 0.159277 -0.002385 -0.252445 0.665624 -0.702292 0.227666 0 0 0 1
6 -0.389363 0.611285 0.689003 0.034196 0.904335 0.395707 0.159978 -0.001980 -0.174851 0.685380 -0.706880 0.227526 0 0 0 1
7 -0.408235 0.600672 0.687412 0.034030 0.892900 0.419409 0.163781 -0.001548 -0.189928 0.680652 -0.707558 0.227425 0 0 0 1
8 -0.414115 0.597587 0.686584 0.033864 0.889226 0.426689 0.164958 -0.001148 -0.194381 0.678840 -0.708089 0.227325 0 0 0 1
9 -0.498834 0.531844 0.684328 0.033676 0.818307 0.549155 0.169706 -0.000715 -0.285545 0.644646 -0.709149 0.227218 0 0 0 1
10 -0.439424 0.591727 0.675843 0.033419 0.875738 0.449689 0.175672 -0.000275 -0.199970 0.669057 -0.715803 0.227055 0 0 0 1
11 -0.453969 0.584028 0.672921 0.033211 0.866782 0.464408 0.181692 0.000162 -0.206396 0.665759 -0.717052 0.226945 0 0 0 1
12 -0.519104 0.526979 0.672921 0.033026 0.806576 0.562513 0.181692 0.000535 -0.282778 0.637080 -0.717052 0.226848 0 0 0 1
13 -0.531112 0.517215 0.671123 0.032817 0.792840 0.582754 0.178325 0.000871 -0.298868 0.626805 -0.719577 0.226724 0 0 0 1
14 -0.520431 0.535552 0.665082 0.032559 0.807953 0.560896 0.180572 0.001261 -0.276336 0.631331 -0.724609 0.226575 0 0 0 1
15 -0.522701 0.538867 0.660609 0.032312 0.808235 0.559721 0.182937 0.001648 -0.271178 0.629550 -0.728099 0.226440 0 0 0 1
16 -0.574694 0.490407 0.655153 0.032050 0.752516 0.631304 0.187545 0.002054 -0.321627 0.600795 -0.731846 0.226303 0 0 0 1
17 -0.505492 0.567851 0.649632 0.031783 0.830190 0.525220 0.186887 0.002406 -0.235076 0.633788 -0.736919 0.226152 0 0 0 1
18 -0.634456 0.418858 0.649632 0.031567 0.667314 0.720946 0.186887 0.002761 -0.390070 0.552081 -0.736919 0.226051 0 0 0 1
19 -0.640429 0.410140 0.649333 0.031344 0.650521 0.739108 0.174756 0.002993 -0.408253 0.534325 -0.740151 0.225917 0 0 0 1
20 -0.637308 0.427961 0.640848 0.031035 0.661560 0.730323 0.170193 0.003299 -0.395190 0.532425 -0.748563 0.225732 0 0 0 1
21 -0.585534 0.504418 0.634595 0.030745 0.740040 0.652144 0.164459 0.003591 -0.330892 0.565923 -0.755142 0.225564 0 0 0 1
22 -0.635072 0.450509 0.627474 0.030444 0.674693 0.719048 0.166605 0.003960 -0.376127 0.529159 -0.760603 0.225407 0 0 0 1
23 -0.578393 0.530621 0.619597 0.030132 0.756558 0.632984 0.164160 0.004282 -0.305089 0.563711 -0.767560 0.225236 0 0 0 1
24 -0.654674 0.439219 0.615213 0.029853 0.651783 0.740209 0.165131 0.004636 -0.382858 0.509092 -0.770872 0.225100 0 0 0 1
25 -0.700216 0.370819 0.610073 0.029564 0.566480 0.808657 0.158658 0.004915 -0.434507 0.456689 -0.776297 0.224944 0 0 0 1
26 -0.636347 0.486778 0.598421 0.029209 0.686834 0.710684 0.152267 0.005194 -0.351169 0.507911 -0.786578 0.224738 0 0 0 1
27 -0.656565 0.465678 0.593349 0.028918 0.657900 0.738308 0.148548 0.005499 -0.368900 0.487897 -0.791118 0.224590 0 0 0 1
28 -0.649789 0.480378 0.589075 0.028635 0.668443 0.730088 0.141965 0.005775 -0.361880 0.486011 -0.795509 0.224444 0 0 0 1
29 -0.632324 0.513780 0.579824 0.028300 0.699067 0.700967 0.141239 0.006108 -0.333872 0.494645 -0.802405 0.224272 0 0 0 1
30 -0.610864 0.546596 0.572779 0.027988 0.730245 0.668506 0.140853 0.006446 -0.305917 0.504311 -0.807516 0.224119 0 0 0 1
31 -0.734664 0.370984 0.568011 0.027699 0.530792 0.835744 0.140677 0.006785 -0.422523 0.404847 -0.810908 0.223983 0 0 0 1
32 -0.587641 0.588571 0.555212 0.027329 0.761218 0.634754 0.132787 0.007048 -0.274269 0.500669 -0.821039 0.223779 0 0 0 1
33 -0.640788 0.529025 0.556347 0.027100 0.695101 0.707442 0.127901 0.007341 -0.325921 0.468675 -0.821047 0.223678 0 0 0 1
34 -0.557202 0.618254 0.554334 0.026840 0.789005 0.602280 0.121359 0.007618 -0.258834 0.504994 -0.823398 0.223552 0 0 0 1
35 -0.591568 0.590269 0.549207 0.026551 0.757325 0.640498 0.127354 0.008021 -0.276593 0.491267 -0.825924 0.223426 0 0 0 1
36 -0.575765 0.605080 0.549883 0.026321 0.772085 0.623668 0.122153 0.008313 -0.269032 0.494888 -0.826260 0.223322 0 0 0 1
37 -0.723747 0.418213 0.548896 0.026075 0.563479 0.817333 0.120236 0.008638 -0.398347 0.396312 -0.827197 0.223212 0 0 0 1
38 -0.523500 0.665229 0.532368 0.025675 0.823678 0.554960 0.116499 0.008946 -0.217945 0.499488 -0.838457 0.222999 0 0 0 1
39 -0.688780 0.489161 0.535071 0.025468 0.632781 0.765826 0.114442 0.009272 -0.353791 0.417408 -0.837019 0.222914 0 0 0 1
40 -0.543776 0.655805 0.523665 0.025120 0.806941 0.579995 0.111582 0.009589 -0.230548 0.483243 -0.844584 0.222739 0 0 0 1
41 -0.599473 0.605314 0.523665 0.024886 0.752668 0.648875 0.111582 0.009935 -0.272252 0.461037 -0.844584 0.222640 0 0 0 1
42 -0.610911 0.597663 0.519216 0.024608 0.741847 0.661186 0.111776 0.010284 -0.276494 0.453464 -0.847301 0.222515 0 0 0 1
43 -0.706920 0.486207 0.513677 0.024319 0.617176 0.778780 0.112223 0.010635 -0.345478 0.396362 -0.850612 0.222385 0 0 0 1
44 -0.643509 0.584267 0.494495 0.023892 0.714635 0.690030 0.114688 0.011006 -0.274208 0.427187 -0.861579 0.222179 0 0 0 1
45 -0.665119 0.565605 0.487550 0.023588 0.690853 0.713907 0.114265 0.011348 -0.283437 0.412826 -0.865584 0.222043 0 0 0 1
46 -0.611460 0.632111 0.475973 0.023236 0.756272 0.643786 0.116575 0.011717 -0.232736 0.431246 -0.871699 0.221887 0 0 0 1
